[25.88476,54.39128]
[15.0036,48.58412]
[11.17006,44.46182]
[0.16508,0.34783]
[0.152,0.3347]
[0.14579,0.33666]
[29.06057,57.81764]
[23.01468,53.31003]
[24.18508,54.68658]
[0.27776,0.38562]
[0.16828,0.35135]
[0.13286,0.31498]
[0.00593,0.02325]
[0.0035,0.02093]
[0.00591,0.02387]
[0.05365,0.24012]
[0.03746,0.20963]
[0.06016,0.24625]
[0.24945,0.38614]
[0.1684,0.35039]
[0.14815,0.33435]
[7.82602,10.2422]
[6.43487,10.93434]
[7.70857,11.92015]
[0.6717,1.69988]
[0.71293,1.73114]
[14.02861,25.06576]
[0.01519,0.07832]
[0.02591,0.08389]
[0.01688,0.07914]
[0.02234,0.08]
[0.02945,0.08808]
[0.75012,2.53219]
[1.0462,2.75387]
[0.75001,2.51726]
[0.55202,2.27674]
[0.33108,2.11161]
