[6.68211,69.19265]
[2.5,88.54946]
[2.5,104.29831]
[0.05,0.65279]
[0.05,0.65077]
[0.05,0.47855]
[9.86302,19.18417]
[8.28393,20.6193]
[13.10118,95.79049]
[0.17126,0.42435]
[0.12326,0.47245]
[0.05,0.50012]
[0.00015,0.04942]
[0.00232,0.05588]
[0.00015,0.05222]
[0.0015,0.57034]
[0.0015,0.35368]
[0.0015,0.46034]
[0.20509,0.76322]
[0.10358,0.62592]
[0.05,0.64074]
[3.07681,7.03234]
[2.5,7.99589]
[2.5,16.79706]
[0.37455,2.5896]
[0.15,2.87605]
[4.5,48.88608]
[0.00252,0.05436]
[0.00357,0.05604]
[0.0099,0.05591]
[3.33e-05,0.05145]
[3.33e-05,0.05421]
[0.35559,4.55776]
[0.86614,4.12337]
[0.88292,5.02966]
[0.7764,4.97745]
[0.33625,4.38131]
