[12.45915,81.16622]
[8.18389,93.6287]
[24.51934,120.0]
[0.05,0.78792]
[0.05,0.66534]
[0.05,0.47347]
[9.43607,18.56626]
[7.65393,18.04127]
[14.28976,110.39135]
[0.15388,0.41062]
[0.13876,0.37463]
[0.06708,0.56217]
[0.00611,0.05426]
[0.01097,0.05963]
[0.00343,0.05438]
[0.0015,0.6]
[0.0015,0.39983]
[0.0015,0.51364]
[0.31654,0.8]
[0.12036,0.66491]
[0.05,0.76989]
[3.70288,6.76961]
[2.5,8.12962]
[2.5,19.93146]
[0.50797,2.73524]
[0.15,3.29551]
[15.06075,54.0]
[0.00927,0.10826]
[0.00372,0.09907]
[0.00119,0.10399]
[3.33e-05,0.08104]
[3.33e-05,0.07518]
[0.68332,4.78453]
[0.63342,5.50034]
[0.48847,5.2774]
[0.87043,6.0]
[0.89254,4.75479]
